<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NLMK,60,060522,1200,157.68,157.8,157.2,157.38,52180
NLMK,60,060522,1300,157.38,157.4,157.1,157.32,55990
NLMK,60,060522,1400,157.3,157.4,157.16,157.4,38050
NLMK,60,060522,1500,157.4,157.64,157.32,157.6,96430
NLMK,60,060522,1600,157.6,158.68,157.5,158.38,128990
NLMK,60,060522,1700,158.34,158.4,158.12,158.18,59350
NLMK,60,060522,1800,158.18,158.36,158.12,158.12,139630
NLMK,60,060522,1900,158.12,162,158.12,162,188120
NLMK,60,110522,1100,160.58,160.9,159,160.4,401470
NLMK,60,110522,1200,160.32,160.7,159.5,159.54,165840
NLMK,60,110522,1300,159.66,159.88,159.02,159.36,88180
NLMK,60,110522,1400,159.34,159.46,159.3,159.34,57830
NLMK,60,110522,1500,159.34,159.68,159,159.58,58650
NLMK,60,110522,1600,159.58,159.58,158.88,158.94,50980
NLMK,60,110522,1700,158.84,158.94,158.04,158.26,68750
NLMK,60,110522,1800,158.26,159.22,158.06,159.1,78890
NLMK,60,110522,1900,159.18,159.48,158.84,159.38,103070
NLMK,60,120522,1100,159.38,159.7,157.44,157.74,133560
NLMK,60,120522,1200,157.82,160.5,157.1,159.04,189560
NLMK,60,120522,1300,159.04,159.34,157.6,158,63340
NLMK,60,120522,1400,158.06,159.12,157.94,158.3,62720
NLMK,60,120522,1500,158.34,158.98,158.2,158.3,39620
NLMK,60,120522,1600,158.2,158.36,157.82,157.84,56050
NLMK,60,120522,1700,157.84,157.98,156.22,156.5,179130
NLMK,60,120522,1800,156.5,156.6,155.5,156.42,122480
NLMK,60,120522,1900,156.4,156.76,155.78,156,79610
NLMK,60,130522,1100,156.5,157.44,155,155.62,103960
NLMK,60,130522,1200,155.6,155.72,155.1,155.34,67360
NLMK,60,130522,1300,155.34,156.6,155.28,156.28,55220
NLMK,60,130522,1400,156.3,156.64,156.1,156.64,23870
NLMK,60,130522,1500,156.64,156.74,155.62,155.94,43720
NLMK,60,130522,1600,155.96,156.08,155.4,156.02,65190
NLMK,60,130522,1700,156.02,156.08,155.8,155.92,45290
NLMK,60,130522,1800,155.88,156.26,155.7,156.26,76790
NLMK,60,130522,1900,156.26,156.8,155.1,155.1,120810
NLMK,60,160522,1100,155.4,156.88,155.04,156.6,107160
NLMK,60,160522,1200,156.7,156.82,156,156.16,40910
NLMK,60,160522,1300,156.02,156.36,155.58,156.14,36420
NLMK,60,160522,1400,156.14,157.82,156.08,156.68,135740
NLMK,60,160522,1500,156.72,157.62,156.54,157.56,200930
NLMK,60,160522,1600,157.56,158.1,157.4,157.88,94500
NLMK,60,160522,1700,157.88,158.26,157.62,158.24,83390
NLMK,60,160522,1800,158.24,158.7,158.1,158.5,74050
NLMK,60,160522,1900,158.56,160,158.12,160,149690
NLMK,60,170522,1100,159.9,160.48,159.3,159.46,189480
NLMK,60,170522,1200,159.46,160,159.3,159.92,225540
NLMK,60,170522,1300,159.9,160.44,159.7,160.3,157460
NLMK,60,170522,1400,160.18,160.2,159.3,159.7,116060
NLMK,60,170522,1500,159.7,159.9,159.3,159.6,59590
NLMK,60,170522,1600,159.48,159.84,159.34,159.7,35460
NLMK,60,170522,1700,159.7,160,159.6,160,93640
NLMK,60,170522,1800,160,160.2,160,160.04,188200
NLMK,60,170522,1900,160.04,160.04,159,159,128140
NLMK,60,180522,1100,159.4,161,159,160.08,377250
NLMK,60,180522,1200,160.06,161.36,159.86,160.7,472480
NLMK,60,180522,1300,160.62,161.2,160,160.34,148350
NLMK,60,180522,1400,160.3,160.3,159.88,160,84280
NLMK,60,180522,1500,160,160.48,159.86,159.96,122430
NLMK,60,180522,1600,159.96,160.72,159.9,160.4,130130
NLMK,60,180522,1700,160.4,160.84,160.32,160.62,229420
