<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XBTUSD,D,291019,0300,9554.1,9936.5,9187.6,9218.7,7774.23664903
XBTUSD,D,301019,0300,9217.1,9563.8,9030,9435.7,6443.02327089
XBTUSD,D,311019,0300,9435.1,9435.3,9000,9166.2,4885.88440327
XBTUSD,D,011119,0300,9163.9,9459.7,8949.6,9146.7,5161.90035164
XBTUSD,D,021119,0300,9151.9,9323.4,9058.1,9258.9,3424.08898477
XBTUSD,D,031119,0300,9258.2,9392,9204.4,9303.6,2319.75219001
XBTUSD,D,041119,0300,9303.6,9383.7,9080,9209.3,1976.07497804
XBTUSD,D,051119,0300,9209.9,9600,9130,9415.3,4210.55547002
XBTUSD,D,061119,0300,9415.2,9534.7,9175,9315.4,3879.89314136
XBTUSD,D,071119,0300,9313,9444,9255,9338.4,2425.04943523
XBTUSD,D,081119,0300,9339.6,9375,9084.9,9205,2735.36761936
XBTUSD,D,091119,0300,9205,9247.6,8675,8766,6097.43096545
XBTUSD,D,101119,0300,8765.9,8877.2,8721,8812,1669.90248078
XBTUSD,D,111119,0300,8812.1,9147.6,8751.7,9039.1,2916.52294666
XBTUSD,D,121119,0300,9039,9068.2,8610,8717,3855.37696814
XBTUSD,D,131119,0300,8717,8868.1,8560,8812.8,3351.9603215
XBTUSD,D,141119,0300,8812.8,8839.7,8709.6,8762.1,1944.95884718
XBTUSD,D,151119,0300,8763.9,8785,8561,8632.1,2648.09074564
XBTUSD,D,161119,0300,8632,8780,8375.4,8456,4632.18232862
XBTUSD,D,171119,0300,8455.9,8530,8430,8485.1,1557.17076091
XBTUSD,D,181119,0300,8487,8630,8363.5,8503.2,2173.98903092
XBTUSD,D,191119,0300,8503.2,8503.2,8030,8170.1,5103.11313161
XBTUSD,D,201119,0300,8168.8,8198.7,7987.2,8122.1,3917.41024362
XBTUSD,D,211119,0300,8124.9,8220,8030,8083.1,3329.92013303
XBTUSD,D,221119,0300,8083.1,8116.5,7399,7619.1,7275.88164828
XBTUSD,D,231119,0300,7619.1,7719.3,6761,7284.8,13608.7453629
XBTUSD,D,241119,0300,7284.7,7339.9,7105.2,7322.6,3450.73182725
XBTUSD,D,251119,0300,7322.5,7344,6836.9,6903.9,5289.08708673
XBTUSD,D,261119,0300,6903.9,7372.6,6525,7127.8,11883.52113364
XBTUSD,D,271119,0300,7125.8,7340,7025,7161.6,5289.8958885
XBTUSD,D,281119,0300,7161.6,7676.9,6854.5,7525.9,10280.36034579
XBTUSD,D,291119,0300,7523.8,7654,7373.2,7427.9,5151.04888594
XBTUSD,D,301119,0300,7427.9,7867.5,7412.4,7756.8,5710.64889357
XBTUSD,D,011219,0300,7756.6,7810,7452.1,7558.9,3783.84486788
XBTUSD,D,021219,0300,7558.9,7558.9,7228.8,7398.4,5458.62057674
XBTUSD,D,031219,0300,7398.3,7426.7,7160.1,7305.8,4088.18681186
XBTUSD,D,041219,0300,7304,7410,7245,7294.1,2968.6713419
XBTUSD,D,051219,0300,7299.5,7800.6,7068.2,7190.5,8221.35626433
XBTUSD,D,061219,0300,7196.2,7488.8,7157.9,7394,5740.72927962
XBTUSD,D,071219,0300,7395,7611.3,7311,7545.7,4660.87827212
XBTUSD,D,081219,0300,7546.3,7630,7491.3,7509.2,1904.40188544
XBTUSD,D,091219,0300,7507.2,7583.1,7400,7521,2035.40111552
XBTUSD,D,101219,0300,7518.7,7666,7256.7,7334.5,6674.37114463
XBTUSD,D,111219,0300,7334.5,7398,7160,7219.3,3914.44131465
XBTUSD,D,121219,0300,7218.7,7273.8,7125,7202,2841.93672577
XBTUSD,D,131219,0300,7201.9,7294.9,7077,7190.1,4286.99055883
XBTUSD,D,141219,0300,7190.2,7300,7182.7,7251.9,2900.50069874
XBTUSD,D,151219,0300,7251.9,7272.1,7010,7067.5,2770.37930834
XBTUSD,D,161219,0300,7067.5,7203,7010,7113.7,2347.93806361
XBTUSD,D,171219,0300,7112.8,7140,6800,6876.7,5102.80519991
XBTUSD,D,181219,0300,6877.4,6939,6563,6611.1,6131.25752861
XBTUSD,D,191219,0300,6612.9,7488.2,6430.2,7287.9,11212.51153387
XBTUSD,D,201219,0300,7293.4,7379.8,7045,7149.8,5337.33561706
XBTUSD,D,211219,0300,7150.5,7218,7076.7,7191.5,3440.04081588
XBTUSD,D,221219,0300,7191.6,7191.6,7117.6,7143.5,1353.22286945
XBTUSD,D,231219,0300,7143.5,7526.9,7124,7510,4534.82935907
XBTUSD,D,241219,0300,7510.1,7690.5,7265,7324,7541.527587
XBTUSD,D,251219,0300,7315.2,7420.4,7160,7253.3,4866.1343074
XBTUSD,D,261219,0300,7252.9,7271.8,7116.1,7192.1,3360.65679731
XBTUSD,D,271219,0300,7193,7428.9,7150,7195.5,3667.03100747
XBTUSD,D,281219,0300,7196.4,7255,6934.8,7246.4,3927.3940909
XBTUSD,D,291219,0300,7246.6,7350,7234.9,7300.1,2522.15801625
XBTUSD,D,301219,0300,7300.6,7531.4,7280,7391,3018.85255099
XBTUSD,D,311219,0300,7383.4,7383.4,7200,7209.7,3737.33575952
XBTUSD,D,010120,0300,7216.4,7301.1,7110,7168.3,2652.13508878
XBTUSD,D,020120,0300,7168.3,7235,7150,7174.4,1827.63489373
