<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IRKT,D,030720,0000,34.48,37.6,34.48,36.48,425100
IRKT,D,040720,0000,36.76,36.98,35.4,35.94,77800
IRKT,D,070720,0000,36.4,36.4,34.12,34.86,171600
IRKT,D,080720,0000,33.3,35.12,33.3,34.6,28700
IRKT,D,090720,0000,34.68,35.16,34.34,34.56,27600
IRKT,D,100720,0000,34.54,34.6,34.1,34.42,48100
IRKT,D,110720,0000,34.04,34.26,33.8,34.08,40600
IRKT,D,140720,0000,34.16,34.6,34.1,34.28,79700
IRKT,D,150720,0000,34.14,34.32,33.8,34.32,32300
IRKT,D,160720,0000,34.28,34.7,34.04,34.48,12700
IRKT,D,170720,0000,34.8,34.8,33.92,34.08,31900
IRKT,D,180720,0000,34.08,34.44,33.2,33.96,107000
IRKT,D,210720,0000,33.82,34,33.24,33.7,35400
IRKT,D,220720,0000,33.98,34.64,33.2,33.62,51300
IRKT,D,230720,0000,33.9,34.3,33.36,33.96,34900
IRKT,D,240720,0000,33.9,39.68,33.9,37,1454700
IRKT,D,250720,0000,37.5,38,36.02,37.6,224500
IRKT,D,280720,0000,37.96,37.96,36.2,36.42,118700
IRKT,D,290720,0000,36.5,36.84,36,36.18,80600
IRKT,D,300720,0000,36.26,36.42,35.74,35.8,73400
IRKT,D,310720,0000,35.8,36.36,34.3,35.08,184000
IRKT,D,010820,0000,35,35.86,34.34,35.54,74600
IRKT,D,040820,0000,35.46,35.7,34.82,35.26,80200
IRKT,D,050820,0000,35.34,35.82,34.8,35.1,54300
IRKT,D,060820,0000,35.58,35.58,34.8,35.1,69000
IRKT,D,070820,0000,35.02,35.48,34.86,35.46,37900
IRKT,D,080820,0000,35.86,36.06,35.02,35.7,86900
IRKT,D,110820,0000,35.62,35.86,35.14,35.46,32900
IRKT,D,120820,0000,35.46,36.04,35.32,35.82,64900
IRKT,D,130820,0000,35.74,36.3,35.66,36.22,65800
IRKT,D,140820,0000,36.3,38,36,36.14,198800
IRKT,D,150820,0000,36.44,37.2,35.52,35.96,54400
IRKT,D,180820,0000,35.88,37.3,35.86,36.22,59500
IRKT,D,190820,0000,36.32,36.32,35,35.74,65800
IRKT,D,200820,0000,35.66,35.84,35.52,35.8,25500
IRKT,D,210820,0000,35.88,36.18,35.2,35.82,45200
IRKT,D,220820,0000,35.88,36.06,35.28,35.74,33600
IRKT,D,250820,0000,35.64,35.94,35.48,35.74,26000
IRKT,D,260820,0000,35.76,35.82,35.3,35.3,14500
IRKT,D,270820,0000,35.3,36,35.12,35.72,41700
IRKT,D,280820,0000,35.8,36.2,35.4,35.92,38900
IRKT,D,290820,0000,35.86,36.82,35.66,36.12,59900
IRKT,D,010920,0000,36.12,36.84,35.64,36,54300
IRKT,D,020920,0000,36,36.18,35.6,35.8,31200
IRKT,D,030920,0000,35.72,36.16,35.6,35.6,28600
IRKT,D,040920,0000,35.54,35.78,34.7,34.7,84900
IRKT,D,050920,0000,34.6,35.16,34.1,34.14,74500
IRKT,D,080920,0000,34.22,34.82,33.52,34.32,71000
IRKT,D,090920,0000,34.04,34.24,33.72,33.9,19600
IRKT,D,100920,0000,33.9,34.48,33.54,34.26,50300
IRKT,D,110920,0000,34.34,35.5,34.18,35.18,134300
IRKT,D,120920,0000,35.26,35.44,34.62,35.06,60700
IRKT,D,150920,0000,35.12,35.46,34.8,35.04,26000
IRKT,D,160920,0000,35.08,35.12,34.94,35.1,13600
IRKT,D,170920,0000,35.16,35.32,34,34.46,68900
IRKT,D,180920,0000,34.52,34.58,34,34.22,60400
IRKT,D,190920,0000,34.34,34.36,33.98,34.18,56700
IRKT,D,220920,0000,34.04,34.2,33.84,33.84,27500
IRKT,D,230920,0000,33.82,33.88,33.54,33.72,41300
IRKT,D,240920,0000,33.66,34.36,33.52,34.08,26500
IRKT,D,250920,0000,33.94,34.08,33.7,33.94,18300
IRKT,D,260920,0000,33.94,34.2,33.5,33.6,53700
IRKT,D,290920,0000,33.66,34.28,33.5,33.5,41900
IRKT,D,300920,0000,33.52,33.96,33.24,33.76,20200
IRKT,D,011020,0000,33.66,33.68,33.42,33.46,11500
IRKT,D,021020,0000,33.38,33.52,33.08,33.2,31300
IRKT,D,031020,0000,33.1,33.1,32.32,32.4,42400
IRKT,D,061020,0000,32.26,32.78,32.26,32.78,12000
IRKT,D,071020,0000,32.7,33.58,32.58,32.94,32200
IRKT,D,081020,0000,33.36,33.36,32.56,32.6,10000
IRKT,D,091020,0000,32.68,33,32.54,32.86,8600
IRKT,D,101020,0000,32.72,33.02,32.06,32.22,44500
IRKT,D,131020,0000,32.1,32.58,31.86,32.24,42300
IRKT,D,141020,0000,32,32.3,31.88,31.98,16200
IRKT,D,151020,0000,31.82,31.82,31.6,31.76,16000
IRKT,D,161020,0000,31.68,31.72,31.3,31.3,9000
IRKT,D,171020,0000,31.26,31.28,30.62,31.2,42900
IRKT,D,201020,0000,31.12,31.26,30.82,30.9,20200
IRKT,D,211020,0000,30.82,30.98,30.18,30.32,53900
IRKT,D,221020,0000,30.24,30.8,30.02,30.58,32500
IRKT,D,231020,0000,30.64,30.7,30.08,30.7,41000
IRKT,D,241020,0000,30.7,33.38,30.7,32.34,121000
IRKT,D,271020,0000,32.24,32.96,31.7,31.96,25200
IRKT,D,281020,0000,31.88,32,30.6,30.8,40400
IRKT,D,291020,0000,30.68,31.14,30,30.08,55200
IRKT,D,301020,0000,28.98,29.94,26.5,26.88,589500
IRKT,D,311020,0000,26.88,27,24.8,24.92,383600
IRKT,D,031120,0000,25,25.2,23.84,23.86,428700
IRKT,D,041120,0000,23.9,24.72,23.66,24.16,373400
IRKT,D,061120,0000,23.9,24.7,23.9,24.14,368900
IRKT,D,071120,0000,24.5,24.5,23.88,23.98,189500
IRKT,D,101120,0000,24.06,24.6,23.7,24.08,793200
IRKT,D,111120,0000,24.46,24.66,23.98,24.18,463700
IRKT,D,121120,0000,24.18,24.36,23.92,24.08,468200
IRKT,D,131120,0000,24.02,24.3,23.96,24.2,260400
IRKT,D,141120,0000,24.22,27.56,24.14,26.24,1765100
IRKT,D,171120,0000,26.84,27.98,26.2,26.72,1319800
IRKT,D,181120,0000,27.08,27.34,25.8,26.34,434500
IRKT,D,191120,0000,26.3,26.66,26.14,26.52,203000
IRKT,D,201120,0000,26.44,26.94,26.02,26.26,166800
IRKT,D,211120,0000,26.18,26.4,25.9,26.02,124400
IRKT,D,241120,0000,26.04,26.54,25.94,26,195200
IRKT,D,251120,0000,26.06,26.1,25.16,25.6,194400
IRKT,D,261120,0000,25.56,26.5,25.5,25.52,261700
IRKT,D,271120,0000,25.46,26.08,24.98,25.1,297400
IRKT,D,281120,0000,25.18,25.36,24.8,25.14,320700
IRKT,D,011220,0000,25.48,25.98,25.08,25.32,152300
IRKT,D,021220,0000,25.34,25.58,25.18,25.4,154500
IRKT,D,031220,0000,25.46,25.88,25.22,25.4,177900
IRKT,D,041220,0000,25.4,25.6,25.14,25.2,104700
IRKT,D,051220,0000,25.4,25.48,25,25.26,145200
IRKT,D,081220,0000,25.34,25.8,25,25.26,207000
IRKT,D,091220,0000,25.26,25.3,25,25.12,109200
IRKT,D,101220,0000,25.08,25.16,25,25,127500
IRKT,D,111220,0000,25,26.98,24.76,24.96,927600
IRKT,D,121220,0000,24.9,25.88,24.9,25.18,431100
IRKT,D,151220,0000,25.2,25.6,25,25.08,400500
IRKT,D,161220,0000,25.78,26.76,24.9,25.08,2054300
IRKT,D,171220,0000,25.1,25.28,24.9,25.06,382600
IRKT,D,181220,0000,25.1,25.16,24.88,25,477600
IRKT,D,191220,0000,25.02,25.4,24.9,25.04,281000
IRKT,D,221220,0000,24.92,24.98,24.06,24.28,408300
IRKT,D,231220,0000,24.2,24.64,23.76,24.48,241300
IRKT,D,241220,0000,24.5,25,24.28,24.54,369600
IRKT,D,251220,0000,24.6,24.88,24.52,24.64,132900
IRKT,D,261220,0000,24.68,24.74,24.56,24.7,86700
IRKT,D,291220,0000,24.66,25.3,24.58,24.78,322700
IRKT,D,301220,0000,24.9,25,24.32,24.8,169900
IRKT,D,311220,0000,24.86,24.9,24.7,24.8,64500
IRKT,D,050121,0000,24.88,25.3,24.82,25.06,180200
IRKT,D,060121,0000,25.1,25.3,25,25.12,130600
IRKT,D,070121,0000,25.2,25.8,25.06,25.42,268200
IRKT,D,090121,0000,25.42,25.76,25.1,25.3,180500
IRKT,D,120121,0000,25.3,25.4,25,25.14,275200
IRKT,D,130121,0000,25.14,25.32,24.98,25.1,210100
IRKT,D,140121,0000,25.18,27.68,25.12,26.2,2007400
IRKT,D,150121,0000,26.3,27.2,25.62,26.5,621800
IRKT,D,160121,0000,26.6,26.78,25.36,26.1,547700
IRKT,D,190121,0000,26.2,26.5,26,26.18,166600
IRKT,D,200121,0000,26.28,26.32,25.64,25.84,178700
IRKT,D,210121,0000,25.82,26.44,25.66,26,318800
IRKT,D,220121,0000,26.02,26.1,25.62,25.7,297500
IRKT,D,230121,0000,25.76,25.76,25.2,25.44,138500
IRKT,D,260121,0000,25.5,25.66,25.42,25.58,85000
IRKT,D,270121,0000,25.5,25.68,25.4,25.6,46800
IRKT,D,280121,0000,25.68,25.68,25.5,25.6,68700
IRKT,D,290121,0000,25.5,25.5,25.22,25.38,70500
IRKT,D,300121,0000,25.46,25.46,25.04,25.32,78500
IRKT,D,020221,0000,25.24,25.86,25.2,25.5,158700
IRKT,D,030221,0000,25.58,26.6,25.42,25.7,272100
IRKT,D,040221,0000,25.78,26.4,25.42,25.8,470400
IRKT,D,050221,0000,25.9,26.3,25.8,26.06,227400
IRKT,D,060221,0000,26.1,26.22,25.8,25.98,227200
IRKT,D,090221,0000,26.08,26.28,25.82,25.9,113100
IRKT,D,100221,0000,25.82,26,25.6,25.68,126100
IRKT,D,110221,0000,25.7,25.9,25.54,25.66,115300
IRKT,D,120221,0000,25.56,25.88,25,25.44,176000
IRKT,D,130221,0000,25.34,25.76,24.88,25.5,262500
IRKT,D,160221,0000,25.42,25.62,25.4,25.5,38100
IRKT,D,170221,0000,25.58,25.72,25.24,25.4,78600
IRKT,D,180221,0000,25.3,25.5,25.12,25.26,60300
IRKT,D,190221,0000,25.2,25.8,25.08,25.26,292700
IRKT,D,200221,0000,25.22,25.52,25.08,25.2,103900
IRKT,D,210221,0000,25.1,25.36,25.1,25.28,68300
IRKT,D,230221,0000,25.36,26.1,25.08,25.26,214200
IRKT,D,250221,0000,25.28,25.56,25.08,25.14,116900
IRKT,D,260221,0000,25.22,25.46,25.14,25.24,66400
IRKT,D,270221,0000,25.18,25.18,24.92,25.12,110100
IRKT,D,020321,0000,25.08,25.24,25.02,25.12,56700
IRKT,D,030321,0000,25.2,25.72,25.04,25.58,98000
IRKT,D,040321,0000,25.7,25.7,25.34,25.38,37000
IRKT,D,050321,0000,25.46,25.54,25.04,25.1,56100
IRKT,D,060321,0000,25.04,25.26,25.02,25.08,46300
IRKT,D,100321,0000,25.16,25.4,25.14,25.24,62300
IRKT,D,110321,0000,25.2,25.32,25,25.02,54900
IRKT,D,120321,0000,25.04,25.3,24.98,25.28,94300
IRKT,D,130321,0000,25.36,25.46,25.1,25.14,29500
IRKT,D,160321,0000,25.22,25.34,24.92,25.04,120700
IRKT,D,170321,0000,25,25.2,25,25.1,63900
IRKT,D,180321,0000,25.18,25.2,25.1,25.12,113600
IRKT,D,190321,0000,25.2,25.8,25.1,25.32,506100
IRKT,D,200321,0000,25.22,25.34,25.1,25.12,61400
IRKT,D,230321,0000,25.2,25.28,25.1,25.22,114100
IRKT,D,240321,0000,25.12,25.18,25,25.08,49700
IRKT,D,250321,0000,25.02,25.14,24.9,24.96,89200
IRKT,D,260321,0000,24.92,24.98,24.6,24.7,103500
IRKT,D,270321,0000,24.6,24.76,24.58,24.76,53600
IRKT,D,300321,0000,24.8,25,24.54,24.7,93800
IRKT,D,310321,0000,24.6,24.78,24.56,24.6,45000
IRKT,D,010421,0000,24.56,24.74,24.56,24.72,34000
IRKT,D,020421,0000,24.76,25.08,24.62,25.04,206700
IRKT,D,030421,0000,25.04,25.04,24.86,24.92,49600
IRKT,D,060421,0000,25.06,25.6,24.84,25.36,202100
IRKT,D,070421,0000,25.46,26.7,25.26,26.18,792400
IRKT,D,080421,0000,26.16,26.3,25.64,25.84,210200
IRKT,D,090421,0000,25.76,25.96,25.02,25.72,167100
IRKT,D,100421,0000,25.72,27.5,25.56,26.58,829500
IRKT,D,130421,0000,26.66,27.26,26.1,26.96,220500
IRKT,D,140421,0000,26.96,27,26.12,26.8,172600
IRKT,D,150421,0000,26.78,27,26.02,26.22,167500
IRKT,D,160421,0000,26.06,26.06,25.5,25.84,151600
IRKT,D,170421,0000,25.96,25.96,25.5,25.82,45200
IRKT,D,200421,0000,25.98,26,25.36,25.8,112100
IRKT,D,210421,0000,25.92,26.12,24.8,25.36,224500
IRKT,D,220421,0000,25.22,25.5,25,25.48,91400
IRKT,D,230421,0000,25.34,25.66,25.18,25.48,43900
IRKT,D,240421,0000,25.38,25.5,24.88,25.38,64600
IRKT,D,270421,0000,25.5,25.72,25.38,25.54,94100
IRKT,D,280421,0000,25.46,25.74,25,25.24,116600
IRKT,D,290421,0000,25.36,25.36,24.96,25,92500
IRKT,D,300421,0000,25.02,25.24,25,25.1,35000
IRKT,D,010521,0000,25.06,25.24,24.94,24.94,54200
