<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHUSDT,D,060619,0300,241.46,250.41,237.37,245.63,335953.37927
ETHUSDT,D,070619,0300,245.62,250.66,235.01,248.76,297579.14734
ETHUSDT,D,080619,0300,248.77,253.28,243.46,248.77,353378.6568
ETHUSDT,D,090619,0300,248.78,250.53,240.37,243.25,188448.27748
ETHUSDT,D,100619,0300,243.33,244.53,226.56,230.98,316931.85638
ETHUSDT,D,110619,0300,231.02,247.45,227.03,246.51,314662.52637
ETHUSDT,D,120619,0300,246.61,247.8,236.49,244.29,237508.42798
ETHUSDT,D,130619,0300,244.36,261.87,242.2,261.15,336499.3016
ETHUSDT,D,140619,0300,261.13,262.98,253.69,254.67,291757.21635
ETHUSDT,D,150619,0300,254.67,264.26,251.75,262.47,327383.28236
ETHUSDT,D,160619,0300,262.48,272.27,260.61,267.82,286594.98029
ETHUSDT,D,170619,0300,267.78,277.06,263.31,267.73,458176.54236
ETHUSDT,D,180619,0300,267.73,276,266.81,273.16,339277.66707
ETHUSDT,D,190619,0300,273.14,273.58,261.45,264.66,319941.55156
ETHUSDT,D,200619,0300,264.68,270,263.59,268.14,208375.68381
ETHUSDT,D,210619,0300,268.16,273.63,265.71,271.22,200717.7737
ETHUSDT,D,220619,0300,271.27,295.94,271.22,294.35,519818.06907
ETHUSDT,D,230619,0300,294.25,314.39,289.69,310.79,726254.67061
ETHUSDT,D,240619,0300,310.7,321.7,305.58,308.52,418812.02747
ETHUSDT,D,250619,0300,308.42,314.41,298,311.64,352791.26964
ETHUSDT,D,260619,0300,311.65,318.99,307,318.26,345559.65047
ETHUSDT,D,270619,0300,318.29,366.8,315.57,339.39,1008551.28721
ETHUSDT,D,280619,0300,339.53,347,280.01,298.35,1016826.449
ETHUSDT,D,290619,0300,298.35,313.58,295.22,311.05,529174.47722
ETHUSDT,D,300619,0300,310.95,324.74,295.18,317.62,425555.16264
ETHUSDT,D,010719,0300,317.64,323.5,290.12,292.7,489028.56835
ETHUSDT,D,020719,0300,292.89,303.49,280.13,295.07,489769.27421
ETHUSDT,D,030719,0300,295.03,297.57,272.65,291.48,493772.96579
ETHUSDT,D,040719,0300,291.47,302.89,285,301.14,370521.96637
ETHUSDT,D,050719,0300,301.11,302.74,280.53,282.73,270791.36878
ETHUSDT,D,060719,0300,282.86,294.89,280.78,287.47,261139.28341
ETHUSDT,D,070719,0300,287.32,296.71,285.28,288.29,196064.64705
ETHUSDT,D,080719,0300,288.29,309.69,284.25,304.72,246111.36595
ETHUSDT,D,090719,0300,304.72,313.74,300.78,311.97,289607.34177
ETHUSDT,D,100719,0300,311.96,318.19,302.69,307.46,309447.34927
ETHUSDT,D,110719,0300,307.46,314.18,281.04,289.23,457080.94063
ETHUSDT,D,120719,0300,289.23,289.23,262.12,268.63,501592.75211
ETHUSDT,D,130719,0300,268.67,278.99,266.21,274.62,266734.54213
ETHUSDT,D,140719,0300,274.53,275.04,262.2,268.79,205959.26849
ETHUSDT,D,150719,0300,268.8,269.74,222.81,225.85,540052.58421
ETHUSDT,D,160719,0300,225.83,235.58,203.08,228.2,715991.20688
ETHUSDT,D,170719,0300,228.2,234.5,192.25,198.88,715604.83198
ETHUSDT,D,180719,0300,198.94,219.86,191.84,210.81,694854.10132
ETHUSDT,D,190719,0300,210.8,229.65,205.71,225.73,609081.49094
ETHUSDT,D,200719,0300,225.75,226.23,212.52,220.73,371622.21865
ETHUSDT,D,210719,0300,220.84,235.09,219.78,228.2,325393.97225
ETHUSDT,D,220719,0300,228.25,229.66,216.99,225.38,270046.1519
ETHUSDT,D,230719,0300,225.49,228.34,212.25,217.51,271310.40446
ETHUSDT,D,240719,0300,217.59,219.55,208.36,212.48,317876.48242
ETHUSDT,D,250719,0300,212.55,218.28,202,216.31,331162.6484
ETHUSDT,D,260719,0300,216.31,225.12,215.23,219.14,280370.29627
ETHUSDT,D,270719,0300,219.14,220,212.71,218.81,197781.98653
ETHUSDT,D,280719,0300,218.81,223.3,203,207.3,301209.41113
ETHUSDT,D,290719,0300,207.3,213.52,198.24,211.62,218801.16693
ETHUSDT,D,300719,0300,211.58,215.83,206.59,210.89,226941.28
ETHUSDT,D,310719,0300,210.84,214.36,204.4,209.58,222683.79393
